,restaurant,street,city,state,zip,country,lat,long
0,McDonalds,526 Ponce De Leon Blvd,Atlanta,GA,30308,USA,33.77437,-84.36945
1,McDonalds,443 Moreland Ave,Atlanta,GA,30316,USA,33.74178,-84.34948
2,McDonalds,1176 Ralph David Abernathy Blvd,Atlanta,GA,30310,USA,33.73816,-84.42562
3,McDonalds,1105 Northside Dr,Atlanta,GA,30318,USA,33.78505,-84.40704
4,McDonalds,2091 Stewart Ave,Atlanta,GA,30315,USA,33.698,-84.40851
5,McDonalds,1994 Howell Mill Road,Atlanta,GA,30318,USA,33.80915,-84.4132
6,McDonalds,2442 Martin Luther King Dr,Atlanta,GA,30331,USA,33.75092,-84.46742
8,McDonalds,526 Ponce De Leon Blvd,Atlanta,GA,30308,USA,33.77437,-84.36945
9,McDonalds,443 Moreland Ave,Atlanta,GA,30316,USA,33.74178,-84.34948
10,McDonalds,1176 Ralph David Abernathy Blvd,Atlanta,GA,30310,USA,33.73816,-84.42562
11,McDonalds,1105 Northside Dr,Atlanta,GA,30318,USA,33.78505,-84.40704
12,McDonalds,2091 Stewart Ave,Atlanta,GA,30315,USA,33.698,-84.40851
13,McDonalds,1994 Howell Mill Road,Atlanta,GA,30318,USA,33.80915,-84.4132
14,McDonalds,2442 Martin Luther King Dr,Atlanta,GA,30331,USA,33.75092,-84.46742
16,McDonalds,111 W Jackson,Chicago,IL,60604,USA,41.87815,-87.63174
17,McDonalds,23 S Clark,Chicago,IL,60603,USA,41.88094,-87.63084
18,McDonalds,180 W Adams,Chicago,IL,60603,USA,41.8794,-87.63362
19,McDonalds,225 S CANAL ST (Union Station),Chicago,IL,60606,USA,41.87879,-87.63958
20,McDonalds,203 N Lasalle St,Chicago,IL,60601,USA,41.8858,-87.63236
21,McDonalds,233 N Michigan,Chicago,IL,60601,USA,41.88625,-87.62446
22,McDonalds,600 N Clark,Chicago,IL,60610,USA,41.89287,-87.63113
23,McDonalds,645 N Mcclurg Ct,Chicago,IL,60611,USA,41.89396,-87.61774
24,McDonalds,1035 W Randolph,Chicago,IL,60607,USA,41.88419,-87.65334
25,McDonalds,10 E Chicago Ave,Chicago,IL,60611,USA,41.8967,-87.62778
26,McDonalds,600 E GRAND AVE (Navy Pier),Chicago,IL,60611,USA,41.89169,-87.60995
27,McDonalds,1380 W Lake Street,Chicago,IL,60607,USA,41.88543,-87.66182
28,McDonalds,1664 S Blue Island,Chicago,IL,60608,USA,41.85859,-87.66084
29,McDonalds,2525 S Martin Luther King Dr,Chicago,IL,60616,USA,41.84722,-87.61669
30,McDonalds,1563 N Wells,Chicago,IL,60610,USA,41.91102,-87.63471
31,McDonalds,2005 W Chicago Ave,Chicago,IL,60622,USA,41.89564,-87.67743
32,McDonalds,3020 S Halsted St,Chicago,IL,60608,USA,41.83905,-87.64662
33,McDonalds,23 N Western Avenue,Chicago,IL,60612,USA,41.88174,-87.68602
34,McDonalds,2315 W. Ogden Ave,Chicago,IL,60608,USA,41.86553,-87.68449
35,McDonalds,207 E 35th St,Chicago,IL,60653,USA,41.83094,-87.62118
36,McDonalds,2438 W Cermak,Chicago,IL,60623,USA,41.85231,-87.68727
37,McDonalds,2635 N Clark St,Chicago,IL,60614,USA,41.93063,-87.64342
38,McDonalds,1737 W Fullerton,Chicago,IL,60614,USA,41.92477,-87.6718
39,McDonalds,1951 N Western Ave,Chicago,IL,60647,USA,41.91703,-87.68713
40,McDonalds,3200 W Roosevelt,Chicago,IL,60624,USA,41.86667,-87.70634
41,McDonalds,2834 N Ashland Ave,Chicago,IL,60657,USA,41.93349,-87.66885
42,McDonalds,2609 S Kedzie Ave,Chicago,IL,60623,USA,41.84397,-87.70484
43,McDonalds,4158 S Ashland,Chicago,IL,60609,USA,41.81782,-87.66575
44,McDonalds,3245 W North Avenue,Chicago,IL,60641,USA,41.90986,-87.70816
45,McDonalds,3867 Archer Ave,Chicago,IL,60632,USA,41.8232,-87.6887
120,McDonalds,200 Richards Blvd,Sacramento,CA,95814,USA,38.597,-121.50195
121,McDonalds,3006 K Street,Sacramento,CA,95816,USA,38.57193,-121.46666
122,McDonalds,2331 Broadway,Sacramento,CA,95818,USA,38.55925,-121.48223
123,McDonalds,1700 W Capitol Ave,West,Sacramento,CA 95,USA,38.5807,-121.53093
124,McDonalds,2985 Freeport Blvd,Sacramento,CA,95818,USA,38.55059,-121.48855
125,McDonalds,2729 W Capitol Ave,West,Sacramento,CA 95,USA,38.57909,-121.54829
126,McDonalds,2244 Lake Washington Blvd,West,Sacramento,CA 95,USA,38.55681,-121.54019
127,McDonalds,3331 W El Camino Ave,Sacramento,CA,95833,USA,38.61409,-121.53149
128,McDonalds,800 Riverpoint Cir,West,Sacramento,CA 95,USA,38.59114,-121.54919
129,McDonalds,2517 Del Paso Blvd,Sacramento,CA,95815,USA,38.61258,-121.44709
130,McDonalds,5525 Folsom Blvd,Sacramento,CA,95819,USA,38.55882,-121.43835
131,McDonalds,3773 Northgate Blvd,Sacramento,CA,95833,USA,38.63602,-121.47667
132,McDonalds,3950 Truxel Road,Sacramento,CA,95834,USA,38.64139,-121.50826
133,McDonalds,1721 Howe Ave,Sacramento,CA,95825,USA,38.59678,-121.41569
134,McDonalds,2320 Fair Oaks Blvd,Sacramento,CA,95825,USA,38.5738,-121.40947
135,McDonalds,5425 Fruitridge Rd,Sacramento,CA,95820,USA,38.52529,-121.44162
136,McDonalds,4242 Norwood Ave,Sacramento,CA,95838,USA,38.64455,-121.45636
137,McDonalds,7901 College Town Drive,Sacramento,CA,95826,USA,38.55582,-121.40991
196,McDonalds,1000 Commerce St,Dallas,TX,75202,USA,32.7786,-96.80315
197,McDonalds,650 N Riverfront Blvd,Dallas,TX,75207,USA,32.78305,-96.81428
198,McDonalds,3802 Gaston Ave,Dallas,TX,75246,USA,32.79191,-96.77884
199,McDonalds,3310 Al Lipscomb Way,Dallas,TX,75210,USA,32.77686,-96.76528
200,McDonalds,632 S Rl Thornton Fwy,Dallas,TX,75203,USA,32.74451,-96.81246
201,McDonalds,4151 N Central Expy,Dallas,TX,75206,USA,32.81531,-96.79075
202,McDonalds,5403 Ross Ave,Dallas,TX,75206,USA,32.81073,-96.77144
203,McDonalds,5337 E Grand Ave,Dallas,TX,75223,USA,32.79202,-96.74986
204,McDonalds,4439 Lemmon Ave,Dallas,TX,75219,USA,32.81845,-96.81373
205,McDonalds,705 W Jefferson,Dallas,TX,75208,USA,32.74348,-96.83415
206,McDonalds,3026 Hampton Rd,Dallas,TX,75212,USA,32.77956,-96.85608
207,McDonalds,1415 E Illinois,Dallas,TX,75212,USA,32.7203,-96.80445
208,McDonalds,2747 Fort Worth Ave,Dallas,TX,75211,USA,32.75816,-96.86589
209,McDonalds,1717 W Mockingbird Ln,Dallas,TX,75038,USA,32.82326,-96.85658
268,McDonalds,1000 Commerce St,Dallas,TX,75202,USA,32.7786,-96.80315
269,McDonalds,650 N Riverfront Blvd,Dallas,TX,75207,USA,32.78305,-96.81428
270,McDonalds,3802 Gaston Ave,Dallas,TX,75246,USA,32.79191,-96.77884
